amfi_code,CAGR_3Y,Sharpe_Ratio,Alpha,Max_Drawdown,expense_ratio_pct,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Fund_Score
100016,-0.00031627759670682654,-0.20151706755966936,0.03747580763443281,-0.24734440880673303,1.55,36.0,35.0,39.0,32.0,34.0,0.08779631255486772
100025,0.046143288414864925,-0.5670947928476846,0.042817920315060876,-0.04308263824636349,0.56,33.0,39.0,38.0,2.0,4.0,26.777875329236167
100033,0.3362921056230763,1.0936987435346315,0.2719535450128533,-0.16217208574644848,1.38,2.0,7.0,6.0,17.0,20.0,96.4881474978051
101206,0.32528591355184844,1.0272133278753695,0.21399784776051212,-0.11291596329323073,1.6,3.0,9.0,12.0,36.5,9.0,83.05531167690957
101207,-0.026964750873929244,0.16266076928646772,0.10897091901704538,-0.3544691649336603,1.53,39.0,28.0,27.0,28.5,38.0,11.940298507462686
101208,0.060761500834302096,-0.8155673679088263,0.060861457957871144,-0.0016224980244717857,0.79,31.0,40.0,33.0,11.0,3.0,27.12906057945566
102885,0.17520119946365442,0.8170993373494367,0.17048756803412696,-0.1085986215250232,1.57,19.0,16.0,19.0,34.0,7.0,57.15539947322212
102886,-0.01832224809009908,-0.20583160785470309,0.028969397866379445,-0.2800112356639287,1.51,38.0,36.0,40.0,24.5,35.0,0.0
102887,0.2566304169554934,0.6195175900829828,0.16211256794033255,-0.21539827112383225,1.64,9.0,22.0,21.0,39.5,30.0,50.04389815627743
118632,0.18088593620415083,1.081659179345704,0.21829397904608644,-0.17414075086657232,1.51,17.0,8.0,11.0,24.5,23.0,71.29060579455661
118633,0.18128823270614958,0.6452074382933215,0.15643835948169668,-0.18629743138595511,0.72,16.0,21.0,22.0,5.5,26.0,62.159789288849865
118634,0.0758063522976058,0.44843400890899127,0.1750072167561127,-0.2334488614483311,1.53,28.0,26.0,18.0,28.5,32.0,33.71378402107111
118635,0.16236841860639406,0.664856998549062,0.1513635464823924,-0.1165062450540909,0.89,22.0,19.0,23.0,13.0,10.0,58.560140474100095
118636,0.04152061472814461,-0.35662950751436784,0.05074772999976104,-0.08316361763638702,0.55,34.0,38.0,35.0,1.0,6.0,28.53380158033362
119092,0.005559688070353008,0.03078485095458594,0.0689952982167755,-0.1440161790933726,1.64,35.0,31.0,30.0,39.5,15.0,13.696224758560126
119093,0.20575450839484977,0.12961449795669328,0.08232801295222093,-0.21751396370148224,0.75,14.0,29.0,28.0,8.0,31.0,49.95610184372256
119094,0.3606601747719518,0.998230986863641,0.2607666908004223,-0.20960883862039192,1.38,1.0,11.0,9.0,17.0,28.0,89.11325724319579
119095,-0.11065546853000663,-0.0759735711747892,0.048015953637759554,-0.5167775370852656,1.38,40.0,33.0,37.0,17.0,39.0,5.17998244073747
119120,0.05606028649588968,-0.22657538662791576,0.05620895216638369,-0.04328728923970093,0.77,32.0,37.0,34.0,9.0,5.0,28.35820895522386
119551,0.27727427651752534,1.208266567372718,0.23201007160635082,-0.1501238549864533,1.54,8.0,4.0,10.0,30.5,17.0,83.9332748024583
119552,0.15383382573944893,0.9532794968660104,0.1986859936686296,-0.11803493502764295,0.66,23.0,12.0,15.0,4.0,11.0,73.6611062335382
119598,0.27814418371202754,0.9453082575156095,0.3033696538698332,-0.2870600572176455,1.43,7.0,14.0,1.0,21.0,36.0,80.86040386303777
