amfi_code,Annual_Return,Annual_Volatility,Sharpe_Ratio
148567,0.2705662016691685,0.1419370675462035,1.4482911703262602
120843,0.2726022383393476,0.1588698652360926,1.3067439695428396
148569,0.2832616153888044,0.17674006691346694,1.2349300257743292
119551,0.2310331546138719,0.13741434141879644,1.208266567372718
120505,0.29265272498407113,0.19290949406318195,1.1801011976606504
149323,0.2659081485146698,0.17746159397550842,1.1321218524747234
100033,0.27211056847152376,0.18936710835214166,1.0936987435346315
118632,0.2180369513249999,0.14148352294996655,1.081659179345704
101206,0.2146466240023027,0.14568212847454326,1.0272133278753695
120504,0.2124476957328343,0.14363780566736659,1.0265242847993
119094,0.2587278597767398,0.1940711742333472,0.998230986863641
119552,0.197881133444817,0.13939367612717501,0.9532794968660104
149324,0.3009312299771723,0.24840205005242097,0.9497958246616044
119598,0.30265596572351255,0.25140578624384674,0.9453082575156095
148568,0.20791821293359272,0.15429144469823297,0.9262873467360144
102885,0.16988800557692826,0.1283662839786056,0.8170993373494367
120503,0.1757940429247065,0.1388443751311979,0.7979728586052847
125497,0.17879963802436752,0.14668866752399518,0.7757902498211205
118635,0.15131944040863557,0.12983158874316306,0.664856998549062
120506,0.16382758819055004,0.15230516379673067,0.6488787755249532
118633,0.15531106361835714,0.13997213649186155,0.6452074382933215
102887,0.1626258549662886,0.15758366917912994,0.6195175900829828
120507,0.0674484404275901,0.0049391262595120155,0.4957233929533123
120841,0.1315478451977995,0.13463795800784448,0.4942725378672349
149322,0.13160728496649923,0.14353859818510503,0.46403744922047774
118634,0.1781915642892773,0.2524152094634046,0.44843400890899127
125498,0.12016959264353062,0.18352430087335778,0.30061192104254786
101207,0.1069621227736075,0.2579732221707774,0.16266076928646772
119093,0.08312437838149542,0.13983295593638856,0.12961449795669328
120842,0.07859995621336482,0.17894715006571874,0.07599984804658923
119092,0.06929469030104402,0.13950661341123835,0.03078485095458594
119599,0.0507318653023297,0.24950125122855862,-0.05718662582817995
119095,0.04595602382589967,0.2506658023260044,-0.0759735711747892
120844,0.06454444499823224,0.005133170487371137,-0.08874729621557288
100016,0.03568302536201135,0.14548134802183876,-0.20151706755966936
102886,0.027673310029606265,0.18134576297311303,-0.20583160785470309
119120,0.056011613099590955,0.039670623690338705,-0.22657538662791576
118636,0.050786394904641624,0.039855381553882616,-0.35662950751436784
100025,0.04285355596222693,0.039052455281001604,-0.5670947928476846
101208,0.06086966398608307,0.005064371352310742,-0.8155673679088263
